date,times,crime,location,disposition,location_geo
10/5/13,4:31:44,BURGLARY,309-210 ALLEN ST,REPORT INITIATED,309-210 ALLEN ST Waterloo Iowa
10/5/13,8:29:20,BURGLARY,1286 SCOTT AV,EXTRA ATTENTION,1286 SCOTT AV Waterloo Iowa
10/5/13,8:43:56,LARCENY/THEFT/SHOPLIFTING,303 ONEIDA ST,REPORT INITIATED,303 ONEIDA ST Waterloo Iowa
10/5/13,9:47:42,LARCENY/THEFT/SHOPLIFTING,936 RIEHL ST,REPORT INITIATED,936 RIEHL ST Waterloo Iowa
10/5/13,16:27:03,BURGLARY,1128 BERTCH AV,REPORT INITIATED,1128 BERTCH AV Waterloo Iowa
10/5/13,17:50:49,LARCENY/THEFT/SHOPLIFTING,2829 LAFAYETTE ST,REFERRED WITHIN DEPT,2829 LAFAYETTE ST Waterloo Iowa
10/5/13,18:41:38,WEAPON:SHOTS FIRED,5140 SOUTH FORK LN,WARNED & ADVISED,5140 SOUTH FORK LN Waterloo Iowa
10/5/13,18:57:39,BURGLARY,1157 WISNER DR,REPORT INITIATED,1157 WISNER DR Waterloo Iowa
10/5/13,19:06:06,ASSAULT,W 3RD ST and ALLEN ST,WARNED & ADVISED,W 3RD ST and ALLEN ST Waterloo Iowa
10/5/13,22:01:26,BURGLARY,1011 FLETCHER AV,REPORT INITIATED,1011 FLETCHER AV Waterloo Iowa
10/5/13,22:12:09,WEAPONS VIOLATIONS,W 7TH ST and JOHNSON ST,REPORT INITIATED,W 7TH ST and JOHNSON ST Waterloo Iowa
10/5/13,23:55:22,ASSAULT IN PROGRESS/JUST,ALBANY ST and LINDEN AV,REPORT INITIATED,ALBANY ST and LINDEN AV Waterloo Iowa
10/6/13,0:05:55,BURGLARY,122 EASTON AV,REPORT INITIATED,122 EASTON AV Waterloo Iowa
10/6/13,2:02:18,LARCENY/THEFT/SHOPLIFTING,304-308 W 4TH ST,REPORT INITIATED,304-308 W 4TH ST Waterloo Iowa
10/6/13,2:46:38,LARCENY IN PROGRESS,500-BLK DAWSON ST,REPORT INITIATED,500-BLK DAWSON ST Waterloo Iowa
10/6/13,7:52:03,BURGLARY IN PROGRESS/JUST,302-B COMMERCIAL ST,WARNED & ADVISED,302-B COMMERCIAL ST Waterloo Iowa
10/6/13,9:43:06,BURGLARY,1643 HOWARD AV,REPORT INITIATED,1643 HOWARD AV Waterloo Iowa
10/6/13,13:15:27,WEAPONS VIOLATIONS,1687 WOODMAYR DR,WARNED & ADVISED,1687 WOODMAYR DR Waterloo Iowa
10/6/13,14:08:01,ASSAULT,3421 W 9TH ST,WARNED & ADVISED,3421 W 9TH ST Waterloo Iowa
10/6/13,14:53:10,ASSAULT,3421 W 9TH ST,REFERRED WITHIN DEPT,3421 W 9TH ST Waterloo Iowa
10/6/13,17:32:18,ASSAULT/AMBULANCE REQUESTED,915 W 3RD ST,REPORT INITIATED,915 W 3RD ST Waterloo Iowa
10/6/13,18:50:02,BURGLARY,841 E RIDGEWAY AV,REPORT INITIATED,841 E RIDGEWAY AV Waterloo Iowa
10/6/13,23:35:51,BURGLARY,520-B LAFAYETTE ST,REPORT INITIATED,520-B LAFAYETTE ST Waterloo Iowa
10/7/13,4:30:26,ASSAULT IN PROGRESS/JUST,1125-11 LANGLEY RD,REPORT INITIATED,1125-11 LANGLEY RD Waterloo Iowa
10/7/13,9:16:09,BURGLARY,90 FRANKLIN ST,REPORT INITIATED,90 FRANKLIN ST Waterloo Iowa
10/7/13,10:50:22,BURGLARY,2171 DIAGONAL ST,REPORT INITIATED,2171 DIAGONAL ST Waterloo Iowa
10/7/13,12:38:50,BURGLARY IN PROGRESS/JUST,1536 TRACEY DR,REPORT INITIATED,1536 TRACEY DR Waterloo Iowa
10/7/13,13:18:30,BURGLARY,1286 DELORIS DR,REPORT INITIATED,1286 DELORIS DR Waterloo Iowa
10/7/13,13:31:58,BURGLARY,1154 WILLISTON AV,REPORT INITIATED,1154 WILLISTON AV Waterloo Iowa
10/7/13,15:43:12,BURGLARY,125 MIDLOTHIAN BLVD,REPORT INITIATED,125 MIDLOTHIAN BLVD Waterloo Iowa
10/7/13,15:48:18,LARCENY/THEFT/SHOPLIFTING,1334 FLAMMANG DR,REPORT INITIATED,1334 FLAMMANG DR Waterloo Iowa
10/7/13,16:35:13,LARCENY IN PROGRESS,3810 UNIVERSITY AV,REPORT INITIATED,3810 UNIVERSITY AV Waterloo Iowa
10/7/13,16:37:24,BURGLARY,316 CENTER ST,REPORT INITIATED,316 CENTER ST Waterloo Iowa
10/7/13,17:10:06,ASSAULT,126 SOUTH ST,REPORT INITIATED,126 SOUTH ST Waterloo Iowa
