date,times,crime,location,disposition,location_geo,lat,long
3/23/13,2:32:44,MVA HIT & RUN,E 4TH ST and ADAMS ST ,REPORT INITIATED,E 4TH ST and ADAMS ST  Waterloo Iowa,42.510343,-92.332733
3/23/13,7:19:40,BURGLARY IN PROGRESS/JUST,405 SUNNYSIDE AV,ASSISTED,405 SUNNYSIDE AV Waterloo Iowa,42.493609,-92.351857
3/23/13,14:38:58,ASSAULT IN PROGRESS/JUST,138 LINCOLN ST,REPORT INITIATED,138 LINCOLN ST Waterloo Iowa,42.508089,-92.339376
3/23/13,16:47:01,ASSAULT,3926-127 W AIRLINE HWY,REPORT INITIATED,3926-127 W AIRLINE HWY Waterloo Iowa,42.542113,-92.340026
3/24/13,1:18:30,ASSAULT,515 MONTERO DR,REFERRED WITHIN DEPT,515 MONTERO DR Waterloo Iowa,42.494004,-92.305579
3/24/13,3:19:05,ASSAULT,INDEPENDENCE AV and VINTON ST,REPORT INITIATED,INDEPENDENCE AV and VINTON ST Waterloo Iowa,42.498339,-92.320773
3/24/13,10:12:07,ASSAULT,147 LINCOLN ST,REFERRED WITHIN DEPT,147 LINCOLN ST Waterloo Iowa,42.507566,-92.339694
3/24/13,14:13:04,BURGLARY,810 BOURLAND AV,REPORT INITIATED,810 BOURLAND AV Waterloo Iowa,42.475487,-92.346762
3/24/13,23:15:46,ASSAULT IN PROGRESS/JUST,628 W 3RD ST,WARNED & ADVISED,628 W 3RD ST Waterloo Iowa,42.492882,-92.346677
3/24/13,23:52:37,ASSAULT,501 N ELK RUN RD,REPORT INITIATED,501 N ELK RUN RD Waterloo Iowa,42.505099,-92.258873
3/25/13,7:23:55,BURGLARY,1615 ESSEX DR,REPORT INITIATED,1615 ESSEX DR Waterloo Iowa,42.494357,-92.306614
3/25/13,10:53:23,STABBING IN PROGRESS/JUST,100-BLK LINCOLN ST,REPORT INITIATED,100-BLK LINCOLN ST Waterloo Iowa,42.507877,-92.337727
3/25/13,11:40:19,ASSAULT/AMBULANCE REQUESTED,237 UNITY SQUARE DR,ASSISTED,237 UNITY SQUARE DR Waterloo Iowa,42.512088,-92.32216
3/25/13,16:35:07,BURGLARY,1615 ESSEX DR,ASSISTED,1615 ESSEX DR Waterloo Iowa,42.494357,-92.306614
3/25/13,22:59:42,BURGLARY,1137-1 SOUTH ST,REPORT INITIATED,1137-1 SOUTH ST Waterloo Iowa,42.487895,-92.336686
3/26/13,5:27:58,BURGLARY,427 COTTAGE ST,EXTRA ATTENTION,427 COTTAGE ST Waterloo Iowa,42.509616,-92.328464
3/26/13,7:57:42,ASSAULT IN PROGRESS/JUST,207 UNITY SQUARE DR,REPORT INITIATED,207 UNITY SQUARE DR Waterloo Iowa,42.512088,-92.32216
3/26/13,8:41:42,BURGLARY,1202 LAFAYETTE ST,EXTRA ATTENTION,1202 LAFAYETTE ST Waterloo Iowa,42.494544,-92.328674
3/26/13,17:02:34,ASSAULT IN PROGRESS/JUST,932 W 3RD ST,REPORT INITIATED,932 W 3RD ST Waterloo Iowa,42.490153,-92.350009
3/27/13,11:51:41,ASSAULT,715 MULBERRY ST,REPORT INITIATED,715 MULBERRY ST Waterloo Iowa,42.499031,-92.332181
3/27/13,13:44:30,ASSAULT/AMBULANCE REQUESTED,3270-3 W 4TH ST,REPORT INITIATED,3270-3 W 4TH ST Waterloo Iowa,42.497231,-92.337184
3/27/13,20:54:36,ASSAULT IN PROGRESS/JUST,536 WESTERN AV,VERBAL WARNING,536 WESTERN AV Waterloo Iowa,42.487101,-92.349274
3/28/13,0:13:51,ASSAULT,1430 DEARBORN AV,REPORT INITIATED,1430 DEARBORN AV Waterloo Iowa,42.489937,-92.291893
3/28/13,10:17:28,ROBBERY,1246 W MULLAN AV,REPORT INITIATED,1246 W MULLAN AV Waterloo Iowa,42.493601,-92.355765
3/28/13,11:59:23,BURGLARY,148 W PARKER ST,REPORT INITIATED,148 W PARKER ST Waterloo Iowa,42.51692,-92.33987
3/28/13,12:06:29,MVA HIT & RUN,W 2ND ST and SOUTH ST,REPORT INITIATED,W 2ND ST and SOUTH ST Waterloo Iowa,42.494115,-92.346701
3/28/13,14:58:51,BURGLARY,429 DENVER ST,REPORT INITIATED,429 DENVER ST Waterloo Iowa,42.487419,-92.352654
3/28/13,15:00:27,BURGLARY IN PROGRESS/JUST,229 MOIR ST,REPORT INITIATED,229 MOIR ST Waterloo Iowa,42.4886,-92.359554
3/28/13,15:12:01,ASSAULT,610 W 2ND ST,REPORT INITIATED,610 W 2ND ST Waterloo Iowa,42.493914,-92.347298
3/28/13,15:28:10,BURGLARY,252 BALTIMORE ST,REPORT INITIATED,252 BALTIMORE ST Waterloo Iowa,42.489669,-92.354244
3/28/13,17:44:44,BURGLARY,431 RIEHL ST,REPORT INITIATED,431 RIEHL ST Waterloo Iowa,42.512845,-92.343815
3/28/13,23:08:23,BURGLARY,831 WILLISTON AV,EXTRA ATTENTION,831 WILLISTON AV Waterloo Iowa,42.484139,-92.346171
3/28/13,23:24:25,BURGLARY IN PROGRESS/JUST,1202 LAFAYETTE ST,EXTRA ATTENTION,1202 LAFAYETTE ST Waterloo Iowa,42.494544,-92.328674
