date,times,crime,location,disposition,location_geo,lat,long
2013-01-31,21:05:44,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-01-31,1:51:29,LARCENY/THEFT/SHOPLIFTING,5826 UNIVERSITY AV,REPORT INITIATED,5826 UNIVERSITY AV Cedar Falls Iowa,42.513785,-92.428879
2013-02-01,12:08:30,LARCENY/THEFT/SHOPLIFTING,1828 WATERLOO RD,REFERRED TO OTHER DEPT,1828 WATERLOO RD Cedar Falls Iowa,42.521816,-92.436579
2013-02-01,0:40:07,ASSAULT/AMBULANCE REQUESTED,401 MAIN ST,REPORT INITIATED,401 MAIN ST Cedar Falls Iowa,42.534867,-92.445914
2013-02-01,22:12:04,BURGLARY IN PROGRESS/JUST,2235-87 LINCOLN ST,REPORT INITIATED,2235-87 LINCOLN ST Cedar Falls Iowa,42.5399047,-92.417072
2013-02-01,21:04:45,LARCENY/THEFT/SHOPLIFTING,2019 COLLEGE ST,REPORT INITIATED,2019 COLLEGE ST Cedar Falls Iowa,42.51893,-92.456235
2013-02-02,14:49:34,LARCENY/THEFT/SHOPLIFTING,4117-128 UNIVERSITY AV,REPORT INITIATED,4117-128 UNIVERSITY AV Cedar Falls Iowa,42.504835,-92.407375
2013-02-02,11:17:08,LARCENY/THEFT/SHOPLIFTING,2222 COLLEGE ST,REPORT INITIATED,2222 COLLEGE ST Cedar Falls Iowa,42.517033,-92.455506
2013-02-03,13:09:38,LARCENY IN PROGRESS,5226 UNIVERSITY AV,ASSISTED,5226 UNIVERSITY AV Cedar Falls Iowa,42.510184,-92.420537
2013-02-03,3:10:42,LARCENY/THEFT/SHOPLIFTING,1939-224 COLLEGE ST,REPORT INITIATED,1939-224 COLLEGE ST Cedar Falls Iowa,42.5203547,-92.4558042
2013-02-05,18:42:35,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-02-06,13:50:14,ASSAULT,604 W 12TH ST,REPORT INITIATED,604 W 12TH ST Cedar Falls Iowa,42.527354,-92.452363
2013-02-06,21:30:02,LARCENY/THEFT/SHOPLIFTING,4410 UNIVERSITY AV,REPORT INITIATED,4410 UNIVERSITY AV Cedar Falls Iowa,42.507429,-92.410362
2013-02-06,20:30:25,LARCENY/THEFT/SHOPLIFTING,401 MAIN ST,REPORT INITIATED,401 MAIN ST Cedar Falls Iowa,42.534867,-92.445914
2013-02-07,15:39:00,Theft,Wellness Rec Center,Open,UNI,42.51718,-92.46653
2013-02-07,10:46:56,WEAPONS VIOLATIONS,2024 CENTER ST,REPORT INITIATED,2024 CENTER ST Cedar Falls Iowa,42.554794,-92.456342
2013-02-08,15:56:06,BURGLARY,404 N FRANCIS ST,REPORT INITIATED,404 N FRANCIS ST Cedar Falls Iowa,42.541073,-92.462344
2013-02-09,13:35:22,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-02-09,1:35:50,BURGLARY IN PROGRESS/JUST,504 N HIGHLAND DR,REPORT INITIATED,504 N HIGHLAND DR Cedar Falls Iowa,42.54188,-92.469472
2013-02-09,12:30:18,LARCENY/THEFT/SHOPLIFTING,2225 COLLEGE ST,REPORT INITIATED,2225 COLLEGE ST Cedar Falls Iowa,42.51696,-92.4560281
2013-02-10,16:08:51,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-02-10,13:34:04,LARCENY/THEFT/SHOPLIFTING,2222 OLIVE ST,REPORT INITIATED,2222 OLIVE ST Cedar Falls Iowa,42.517017,-92.45432
2013-02-12,16:54:37,LARCENY/THEFT/SHOPLIFTING,W 19TH ST and CAMPUS ST,REPORT INITIATED,W 19TH ST and CAMPUS ST Cedar Falls Iowa,42.5213798,-92.4605742
2013-02-12,11:45:03,LARCENY/THEFT/SHOPLIFTING,5908 NORDIC DR,REPORT INITIATED,5908 NORDIC DR Cedar Falls Iowa,42.484547,-92.446831
2013-02-13,15:39:00,Assault,Dancer Hall,Closed,UNI,42.518335,-92.461463
2013-02-13,20:35:28,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-02-13,19:17:45,ASSAULT,2218 COLLEGE ST,REPORT INITIATED,2218 COLLEGE ST Cedar Falls Iowa,42.517139,-92.455453
2013-02-14,16:20:20,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-02-15,16:03:12,LARCENY/THEFT/SHOPLIFTING,5911-400 UNIVERSITY AV,REPORT INITIATED,5911-400 UNIVERSITY AV Cedar Falls Iowa,42.5109377,-92.4291703
2013-02-16,2:19:00,Assault - Assist,Rider Hall,Closed,UNI,42.512423,-92.462485
2013-02-17,11:58:07,LARCENY/THEFT/SHOPLIFTING,1411 MAIN ST,REPORT INITIATED,1411 MAIN ST Cedar Falls Iowa,42.5254216,-92.4455532
2013-02-18,17:04:24,LARCENY/THEFT/SHOPLIFTING,1813-27 W 8TH ST,REPORT INITIATED,1813-27 W 8TH ST Cedar Falls Iowa,42.5314718,-92.4664355
2013-02-18,14:40:22,LARCENY/THEFT/SHOPLIFTING,1710 STATE ST,REPORT INITIATED,1710 STATE ST Cedar Falls Iowa,42.5227425,-92.4441862
2013-02-18,17:41:05,LARCENY/THEFT/SHOPLIFTING,1703 WASHINGTON ST,REPORT INITIATED,1703 WASHINGTON ST Cedar Falls Iowa,42.522903,-92.447228
2013-02-20,16:30:00,Burglary,McLeod Center,Open,UNI,42.514089,-92.467203
2013-02-21,8:56:06,LARCENY/THEFT/SHOPLIFTING,900-100 TECHNOLOGY PKWY,REPORT INITIATED,900-100 TECHNOLOGY PKWY Cedar Falls Iowa,42.47235,-92.455771
2013-02-22,16:40:15,LARCENY/THEFT/SHOPLIFTING,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-02-22,17:39:24,LARCENY/THEFT/SHOPLIFTING,220 CLAY ST,REPORT INITIATED,220 CLAY ST Cedar Falls Iowa,42.536401,-92.447759
2013-02-23,16:14:53,LARCENY/THEFT/SHOPLIFTING,3223-11 SCENIC DR,REPORT INITIATED,3223-11 SCENIC DR Cedar Falls Iowa,42.5075124,-92.4077629
2013-02-23,1:32:24,ASSAULT,2222 COLLEGE ST,REPORT INITIATED,2222 COLLEGE ST Cedar Falls Iowa,42.517033,-92.455506
2013-02-24,9:27:50,LARCENY/THEFT/SHOPLIFTING,2202 CYPRESS AV,REFERRED WITHIN DEPT,2202 CYPRESS AV Cedar Falls Iowa,42.555834,-92.458476
2013-02-25,9:00:00,Assault,E St,Closed,UNI,42.507286,-92.453878
2013-02-26,10:55:40,LARCENY/THEFT/SHOPLIFTING,700-538 W RIDGEWAY AV,REPORT INITIATED,700-538 W RIDGEWAY AV Cedar Falls Iowa,42.4695099,-92.4498611
2013-02-27,14:30:00,Burglary,G St,Open,UNI,42.507069,-92.455766
2013-02-28,17:57:19,ASSAULT,2235 LINCOLN ST,REPORT INITIATED,2235 LINCOLN ST Cedar Falls Iowa,42.5399047,-92.417072
2013-02-28,13:23:05,ASSAULT,1813-3 W 8TH ST,REPORT INITIATED,1813-3 W 8TH ST Cedar Falls Iowa,42.5314718,-92.4664355
2013-03-01,2:19:00,Theft,South Art Lot,Open,UNI,42.512656,-92.4673
2013-03-01,14:15:49,LARCENY/THEFT/SHOPLIFTING,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-03-01,11:14:21,LARCENY/THEFT/SHOPLIFTING,4100 SYMONS RD,REPORT INITIATED,4100 SYMONS RD Cedar Falls Iowa,42.572832,-92.427217
2013-03-01,17:00:03,LARCENY IN PROGRESS,309 MAIN ST,REPORT INITIATED,309 MAIN ST Cedar Falls Iowa,42.5355739,-92.44591
2013-03-01,8:09:40,BURGLARY,2607-8 TERRACE DR,REPORT INITIATED,2607-8 TERRACE DR Cedar Falls Iowa,42.5094171,-92.4149938
2013-03-02,12:58:32,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-03-02,16:48:22,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-03-02,9:49:30,BURGLARY,5500 PERIDOT RD,REPORT INITIATED,5500 PERIDOT RD Cedar Falls Iowa,42.5029418,-92.4083498
2013-03-02,11:16:08,LARCENY/THEFT/SHOPLIFTING,423 W VIKING RD,REPORT INITIATED,423 W VIKING RD Cedar Falls Iowa,42.4847759,-92.450637
